date,prospect,url,channel,contact,stage,sent,replied,outcome,next_action,next_date,amount_usd
2026-08-26,Clean Simple Eats,https://cleansimpleeats.com,gmail,hello@cleansimpleeats.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Equi London,https://equilondon.com,gmail,info@equilondon.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,LAY LO Pets,https://laylopets.com,gmail,gabriela@laylopets.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,maxbone,https://maxbone.com,gmail,info@maxbone.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,The Foggy Dog,https://thefoggydog.com,gmail,woof@thefoggydog.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Native Pet,https://nativepet.com,gmail,info@nativepet.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Bocce's Bakery,https://boccesbakery.com,gmail,hello@boccesbakery.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Primally Pure,https://primallypure.com,gmail,hello@primallypure.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Paw Balance,https://pawbalance.co,gmail,support@pawbalance.co,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Misen,https://misen.com,gmail,support@misen.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Farmer's Fetch,https://farmersfetchbones.com,gmail,team@farmersfetchbones.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Dieux,https://dieuxskin.com,gmail,hello@dieuxskin.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Brightland,https://brightland.co,gmail,goodday@brightland.co,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Fly by Jing,https://flybyjing.com,gmail,support@flybyjing.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Burlap & Barrel,https://burlapandbarrel.com,gmail,care@burlapandbarrel.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Rumpl,https://rumpl.com,gmail,info@rumpl.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Hikerkind,https://hikerkind.com,gmail,shop@hikerkind.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,The Sill,https://thesill.com,gmail,info@thesill.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Ellis Brooklyn,https://ellisbrooklyn.com,gmail,info@ellisbrooklyn.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Nécessaire,https://necessaire.com,gmail,team@necessaire.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Saie,https://saiehello.com,gmail,hi@saiehello.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,DedCool,https://dedcool.com,gmail,hello@dedcool.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Fable,https://fablepets.com,gmail,help@fablepets.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Diggs,https://diggs.pet,gmail,help@diggs.pet,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Pet Honesty,https://pethonesty.com,gmail,hello@pethonesty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Polkadog,https://polkadog.com,gmail,delivery@polkadog.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Pup Thrive,https://shoppupthrive.com,gmail,info@shoppupthrive.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Branch Basics,https://branchbasics.com,gmail,info@branchbasics.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Phlur,https://phlur.com,gmail,support@phlur.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Jones Road,https://jonesroadbeauty.com,gmail,hi@jonesroadbeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Graza,https://graza.co,gmail,hello@graza.co,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Atlas Coffee Club,https://atlascoffeeclub.com,gmail,support@atlascoffeeclub.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Solly Baby,https://sollybaby.com,gmail,info@sollybaby.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Sunday Scaries,https://sundayscaries.com,gmail,happiness@sundayscaries.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Blueland,https://blueland.com,gmail,help@blueland.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Biscuit Home,https://biscuit-home.com,gmail,hello@biscuit-home.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,LONA Beauty,https://lonabeauty.com,gmail,hey@lonabeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Field Company,https://fieldcompany.com,gmail,help@fieldcompany.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,The Hampton Grocer,https://thehamptongrocer.com,gmail,hello@thehamptongrocer.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Pureopia,https://pureopia.com,gmail,hello@pureopia.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Wild Wolf,https://wildwolfbullysticks.com,gmail,info@wildwolfbullysticks.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Herbivore,https://herbivorebotanicals.com,gmail,info@herbivorebotanicals.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,CLN&DRTY,https://clnanddrty.com,gmail,Hello@CLNandDRTY.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Boy Smells,https://boysmells.com,gmail,query@boysmells.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Otherland,https://otherland.com,gmail,hello@otherland.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Diaspora Co,https://diasporaco.com,gmail,info@diasporaco.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Fishwife,https://eatfishwife.com,gmail,hello@eatfishwife.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Golde,https://golde.co,gmail,support@golde.co,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,VEGAMOUR,https://vegamour.com,gmail,support@vegamour.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Heretic,https://hereticparfum.com,gmail,concierge@hereticparfum.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Trade Coffee,https://drinktrade.com,gmail,support@drinktrade.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,ILIA,https://iliabeauty.com,gmail,support@iliabeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Kosas,https://kosas.com,gmail,letschat@kosas.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Milk & Honey Babies,https://milkandhoneybabies.com,gmail,hello@milkandhoneybabies.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Nath Jewelry,https://nathjewelry.com,gmail,hi@nathjewelry.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Kilne,https://kilne.com,gmail,hello@kilne.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Wild Linens,https://wildlinens.com,gmail,hello@wildlinens.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Anara Skincare,https://anaraskincare.com,gmail,hello@anaraskincare.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Caraway,https://carawayhome.com,gmail,Hello@carawayhome.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Summer Fridays,https://summerfridays.com,gmail,help@summerfridays.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Hu Kitchen,https://hukitchen.com,gmail,support@hukitchen.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,APOTHEKE,https://apothekeco.com,gmail,info@apothekeco.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,MERIT Beauty,https://meritbeauty.com,gmail,hi@meritbeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Piglet in Bed,https://pigletinbed.com,gmail,team@pigletinbed.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Smithey Ironware,https://smithey.com,gmail,support@smithey.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,By Rosie Jane,https://byrosiejane.com,gmail,hello@byrosiejane.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,P.F. Candle Co,https://pfcandleco.com,gmail,hello@pfcandleco.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,The Nue Co,https://thenueco.com,gmail,info@thenueco.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Starface,https://starfaceworld.com,gmail,orders@starfaceworld.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,GOSO Cookware,https://gosocookware.com,gmail,hello@gosocookware.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Little Earthlings,https://littleearthlings.co,gmail,hello@littleearthlings.co,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Michele's Granola,https://michelesgranola.com,gmail,info@michelesgranola.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Tedi's Snacks,https://tedissnacks.com,gmail,hello@tedissnacks.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Maison Louis Marie,https://maisonlouismarie.com,gmail,info@maisonlouismarie.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Westman Atelier,https://westman-atelier.com,gmail,artistry@westman-atelier.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,RMS Beauty,https://rmsbeauty.com,gmail,customerservice@rmsbeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Glow Recipe,https://glowrecipe.com,gmail,love@glowrecipe.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,BYOMA,https://byoma.com,gmail,hello@byoma.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Milk Makeup,https://milkmakeup.com,gmail,hello@milkmakeup.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Versed,https://versedskin.com,gmail,hello@versedskin.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,REFY,https://refybeauty.com,gmail,support@refybeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,The INKEY List,https://theinkeylist.com,gmail,help@theinkeylist.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Function of Beauty,https://functionofbeauty.com,gmail,hello@functionofbeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Commodity,https://commodityfragrances.com,gmail,customerservice@commodityfragrances.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Great Jones,https://greatjonesgoods.com,gmail,hi@greatjonesgoods.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Brooklinen,https://brooklinen.com,gmail,hello@brooklinen.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Tatcha,https://tatcha.com,gmail,customercare@tatcha.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Rare Beauty,https://rarebeauty.com,gmail,hello@rarebeauty.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Sol de Janeiro,https://soldejaneiro.com,gmail,ola@soldejaneiro.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Patrick Ta,https://patrickta.com,gmail,help@patrickta.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,OUAI,https://theouai.com,gmail,team@theouai.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Girlfriend Collective,https://girlfriend.com,gmail,hello@girlfriend.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Peach & Lily,https://peachandlily.com,gmail,hello@peachandlily.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,K18,https://k18hair.com,gmail,hello@k18hair.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Olaplex,https://olaplex.com,gmail,customerservice@olaplex.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Public Goods,https://publicgoods.com,gmail,service@publicgoods.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,melin,https://melin.com,gmail,info@melin.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Crown Affair,https://crownaffair.com,gmail,care@crownaffair.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,dae,https://daehair.com,gmail,cs@daehair.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Color Wow,https://colorwowhair.com,gmail,hello@colorwowhair.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,dpHUE,https://dphue.com,gmail,info@dphue.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Verb,https://verbproducts.com,gmail,info@verbproducts.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Fable & Mane,https://fableandmane.com,gmail,support@fableandmane.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
2026-08-26,Cuyana,https://cuyana.com,gmail,support@cuyana.com,SENT,2026-08-26,,pending,follow-up,2026-08-29,250
