term,count
"Grok Bot",197
"Sherlock",40
"Slack",39
"Hey",34
"Serena",27
"Gus",24
"Mimi",22
"Salesforce",20
"Jenny",19
"Harbor",13
"Steve",13
"Emily",12
"Ashley",12
"Um I",11
"Gmail",11
"Cool. So",10
"CRM",10
"SpaceX",10
"Craig",10
"SpaceX AI",9
"Grok Bots",8
"SDR",8
"Google",8
"Pixel",8
"Southwest",8
"Notion",7
"Okay. So",7
"ROI",7
"Franny",7
"Maybe",7
"Serena Williams",7
"Expedia",7
"GTM",6
"Uh I",6
"Carter",6
"Let",6
"Grok",6
"Grok Bot. Um",6
"CEO",6
"APIs",6
"Wally",6
"Frankie",6
"Grock",6
"Grockpot",6
"Obviously",6
"PRs",6
"Cursor",6
"Flyo. Um",6
"Yeah.",5
"RevOps",5
"OP1",5
"Thank",5
"Scout",5
"Another",5
"Simon",5
"Echo",5
"Meaning",5
"MCP",5
"Pete",5
"Flyo",5
"Grab",5
"Second",4
"Stripe",4
"Wi-Fi",4
"Damon",4
"Great. So",4
"Marops",4
"Android",4
"API",4
"ICP",4
"Shakespeare",4
"Fly Low",4
"Again",4
"PMP",4
"MongoDB",4
"Grok Bot. So",3
"Cool. Um",3
"SSO",3
"SpaceX AAI",3
"Fiser",3
"Juno",3
"Slacks",3
"Grok Bot. I",3
"Trudy",3
"Usually",3
"Build",3
"SCR",3
"PLG",3
"Crockbot",3
"LinkedIn",3
"Crystal",3
"Everyone",3
"Chief",3
"Starlink",3
"Chris",3
"Grok Bot. And",3
"Mac",3
"Google Ads",3
"PMs",3
"Nova",3
"Roshan",3
"PRD",3
"Protobot",3
"Intel",3
"Jellyfish",3
"Skyscanner",3
"Asian",3
"Slack. And",2
"Plane",2
"Um Grok Bot",2
"Anyone",2
"Reply",2
"Instead",2
"Read",2
"Alex",2
"Try",2
"SOP",2
"IDs",2
"Elena",2
"Okay. Now",2
"Awesome. So",2
"XYZ",2
"SpaceX. Um",2
"Sometimes",2
"AES",2
"PRs. And I",2
"Blake",2
"MCPs",2
"Scale",2
"Flywheel",2
"Harbor. So",2
"Maya",2
"Northwind",2
"Thanks",2
"Help",2
"Seems",2
"Grockit",2
"STRs. So",2
"STR",2
"Graqua",2
"CSV",2
"Grapod",2
"Staff",2
"Kind",2
"CTO",2
"Granola",2
"Gong",2
"Amplitude",2
"Fair",2
"Happy",2
"Crockpot",2
"MCPS",2
"Because",2
"Google Docs",2
"URL",2
"Hello",2
"PRDS",2
"Figma",2
"PM Pete",2
"Yeah. And",2
"Yeah. And I",2
"Cool.",2
"Option A",2
"Cool. And",2
"Believe",2
"Part",2
"Basically",2
"Probot",2
"Stockbot",2
"Closebot",2
"Matt",2
"Lauren",2
"Grok Bot Galaxy",2
"Okay. Um",2
"Google Flights. Um",2
"PowerBI",2
"Sherlock. I",2
"Previously",2
"Hogan",2
"David",1
"A. So",1
"IDE",1
"Zendesk",1
"Intercom",1
"Notion. And",1
"Cool. Now",1
"Um Cool. The",1
"Um Yeah",1
"TSE",1
"FAQ. Oh",1
"FlyLo",1
"Google. We",1
"Cool. This",1
"Plane. This",1
"Grok Bots I",1
"Supabase",1
"Slack. Um",1
"Ben. And",1
"Cool. Okay",1
"Cool. Uh",1
