name,category,address,lat,lon,phone,has_website,site_quality_flag,score,notes
Shell,Other,"30.0674, -95.1889",30.0673765,-95.1889004,,False,none,70,No website in OSM tags
Firestone,Other,"30.0680, -95.2146",30.0680449,-95.2146478,,False,none,70,No website in OSM tags
"Elegant Nails, Tan, & Spa",Other,"3058, Northpark Drive, Kingwood, TX",30.0674896,-95.1952177,,False,none,70,No website in OSM tags
Jacks Food Store,Other,"30.0291, -95.2394",30.0290753,-95.2393569,,False,none,70,No website in OSM tags
Jason's Deli,Other,"1275, Kingwood Drive, Kingwood, TX",30.0506901,-95.2374511,,False,none,70,No website in OSM tags
Kingwood Nails & Spa,Other,"4580, Kingwood Drive, Kingwood, TX, 77345",30.0493572,-95.1821153,,False,none,70,No website in OSM tags
El Charro,Other,"4580, Kingwood Drive, Kingwood, TX, 77345",30.0496938,-95.1819745,,False,none,70,No website in OSM tags
Hin's Garden,Other,"4582, Kingwood Drive, Kingwood, TX, 77345",30.0478369,-95.1808858,,False,none,70,No website in OSM tags
Three B's Grill,Other,"4590, Kingwood Drive, Kingwood, TX, 77345",30.0503855,-95.1813332,,False,none,70,No website in OSM tags
Palm Beach Tan,Beauty/Salon,"4582, Kingwood Drive, Kingwood, TX, 77345",30.0499144,-95.1815172,+1-281-812-1814,False,none,70,HTTP 404
TGF Haircutters,Other,"4572, Kingwood Drive, Kingwood, TX, 77345",30.050053,-95.1822743,,False,none,70,No website in OSM tags
Sport Clips,Other,"4566, Kingwood Drive, Kingwood, TX, 77345",30.0498044,-95.1829789,,False,none,70,No website in OSM tags
Nail Plus,Other,"2622, Chestnut Ridge Road, Kingwood, TX, 77339",30.0512843,-95.2394488,,False,none,70,No website in OSM tags
Elite Treats,Other,"2624, Chestnut Ridge Road, Kingwood, TX, 77339",30.0512262,-95.239375,,False,none,70,No website in OSM tags
Island Salon,Other,"2626, Chestnut Ridge Road, Kingwood, TX, 77339",30.0511751,-95.2393013,,False,none,70,No website in OSM tags
Kingwood Service Center,Other,"30.0670, -95.1888",30.0670299,-95.1888126,,False,none,70,No website in OSM tags
The Hair Haus,Other,"3084, Northpark Drive, Kingwood, TX, 77345",30.0674381,-95.1950022,,False,none,70,No website in OSM tags
Skeeter's Mesquite Grill,Other,"4121, West Lake Houston Parkway, Kingwood, TX, 77339",30.0657481,-95.188928,,False,none,70,No website in OSM tags
Studio North Salon & Spa,Other,"2249, Northpark Drive, Kingwood, TX, 77339",30.0696862,-95.2123647,,False,none,70,No website in OSM tags
Spa & Nails of America,Other,"2241, Northpark Drive, Kingwood, TX, 77339",30.0696881,-95.2125856,,False,none,70,No website in OSM tags
Las Palomas Mexican Restaurant,Other,"2229, Northpark Drive, Kingwood, TX, 77339",30.0696863,-95.212833,,False,none,70,No website in OSM tags
Carrabba's Italian Grill,Other,"750, Kingwood Drive, Kingwood, TX, 77339",30.0504657,-95.244521,,False,none,70,No website in OSM tags
Pei Wei,Other,"702, Kingwood Drive, Kingwood, TX, 77339",30.0507663,-95.2452584,,False,none,70,No website in OSM tags
Kingwood Nails,Other,"522, Kingwood Drive, Kingwood, TX, 77339",30.0502553,-95.2471417,,False,none,70,No website in OSM tags
TGF Haircutters,Other,"524, Kingwood Drive, Kingwood, TX, 77339",30.0503111,-95.2471233,,False,none,70,No website in OSM tags
Mr. Gatti's Pizza,Other,"1345, Kingwood Drive, Kingwood, TX, 77339",30.0507739,-95.2362509,,False,none,70,No website in OSM tags
Shapes Makeover Bar,Other,"30.0087, -95.2708",30.0087367,-95.2707629,,False,none,70,No website in OSM tags
Shapes Brow Bar,Other,"30.0088, -95.2707",30.0088219,-95.2707276,,False,none,70,No website in OSM tags
MJ Nail Salon,Other,"4405, Town Center Place, Kingwood, TX, 77339",30.0481911,-95.185072,,False,none,70,No website in OSM tags
Studio K - A Hair Company,Other,"4445, Town Center Place, Kingwood, TX, 77339",30.048342,-95.1847273,+1-281-361-4247,False,none,70,URL Error: [Errno -2] Name does not resolve
Texas Sushi Hana,Other,"9, North Main Street, Kingwood, TX, 77339",30.0482021,-95.1856292,,False,none,70,URL Error: [Errno -2] Name does not resolve
Moriri Hair Etc Salon & Day Spa,Other,"19, North Main Street, Kingwood, TX, 77339",30.0484584,-95.1857278,,False,none,70,No website in OSM tags
Face It Med Spa,Other,"21, North Main Street, Kingwood, TX, 77339",30.0485327,-95.1857801,+1-281-360-1342,False,none,70,URL Error: [Errno -2] Name does not resolve
Kings Crossing Car Care,Other,"3319, West Lake Houston Parkway, Kingwood, TX, 77339",30.0554469,-95.1869786,,False,none,70,No website in OSM tags
Mercury Tanning Salon,Beauty/Salon,"4003, Rustic Woods Drive, Kingwood, TX, 77339",30.0548619,-95.1874591,,False,none,70,No website in OSM tags
Hunan Garden Restaurant,Other,"4331, Kingwood Drive, Kingwood, TX, 77339",30.0510899,-95.1863493,+1-281-360-2668,False,none,70,No website in OSM tags
S&A Nails,Other,"4423, Kingwood Drive, Kingwood, TX, 77339",30.0515777,-95.1862498,,False,none,70,No website in OSM tags
Cyndy's Nails,Other,"23832, Highway 59 North, Kingwood, TX, 77339",30.0611509,-95.2476159,+1-281-358-1154,False,none,70,No website in OSM tags
J. Christopher’s Italian Bistro,Other,"2245, Northpark Drive, Kingwood, TX, 77339",30.06969,-95.2124862,+1 281-358-6601,False,none,70,HTTP 403
Huffman Collision Center,Other,"30737, Huffman Cleveland Road, Huffman, TX, 77336",30.1091323,-95.1111892,+1-281-361-5600,False,none,70,URL Error: [Errno -2] Name does not resolve
Chili's,Other,"21470, Eastex Freeway, New Caney, TX, 77357",30.1331365,-95.2291126,+1-281-354-0594,False,none,70,HTTP 404
Offset Kustoms,Other,"30.1442, -95.2244",30.1441668,-95.2244032,,False,none,70,No website in OSM tags
Food Mart,Other,"30.0051, -95.3084",30.0051045,-95.308443,,False,none,70,No website in OSM tags
Dee's Hair Design,Other,"30.0026, -95.2707",30.0026031,-95.2706864,,False,none,70,No website in OSM tags
Cicis,Other,"19705, Eastex Freeway, Humble, TX",30.0026008,-95.2708635,,False,none,70,No website in OSM tags
V Bistro,Other,"19775, Eastex Freeway, Humble, TX",30.0037413,-95.2708366,,False,none,70,No website in OSM tags
Humble Nails,Beauty/Salon,"19759, Eastex Freeway, Humble, TX",30.0038203,-95.270834,,False,none,70,No website in OSM tags
Jason's Deli,Other,"19755, Eastex Freeway, Humble, TX",30.0040502,-95.2705711,,False,none,70,No website in OSM tags
Kami Ramen Bar,Other,"19731, Eastex Freeway, Humble, TX",30.004041,-95.270217,,False,none,70,No website in OSM tags
Torchy's,Other,"30.0515, -95.1812",30.051548,-95.1812404,,False,none,70,No website in OSM tags
Little Ginger Cafe,Other,"30.0480, -95.1846",30.0479548,-95.1845697,,False,none,70,No website in OSM tags
Shogun Japanese Grill & Sushi Bar,Other,"New Caney, TX, 77357",30.1331129,-95.2352816,,False,none,70,No website in OSM tags
Lin's China Diner,Other,"21968, Market Place Drive, New Caney, TX, 77357",30.133078,-95.2353582,+1-281-747-2300,False,none,70,URL Error: [Errno -2] Name does not resolve
Sport Clips,Other,"11939, North Grand Parkway East, New Caney, TX, 77357",30.1308201,-95.2352056,+1-832-612-3446,False,none,70,URL Error: [Errno -2] Name does not resolve
Russo's Pizza,Other,"21572, Market Place Drive, New Caney, TX, 77357",30.1335338,-95.2307481,,False,none,70,No website in OSM tags
Sport Clips,Other,"25639, Eastex Freeway, Kingwood, TX, 77339",30.0719884,-95.2442088,+1-281-354-7220,False,none,70,No website in OSM tags
Airi Poke and Ramen,Other,"21372, Eastex Freeway, New Caney, TX, 77357",30.1340454,-95.2289286,+1-281-354-8900,False,none,70,No website in OSM tags
Tune Up The Manly Salon,Other,"21372, Eastex Freeway, New Caney, TX, 77357",30.1339655,-95.2289576,+1-281-602-2254,False,none,70,No website in OSM tags
Linda Nails,Beauty/Salon,"23741, Eastex Freeway, Porter, TX, 77365",30.1036314,-95.2349541,+1-281-354-3345,False,none,70,No website in OSM tags
Supreme Hibachi and Sushi Buffet,Other,"23741, Eastex Freeway, Porter, TX, 77365",30.1025016,-95.2353242,+1-281-577-0122,False,none,70,No website in OSM tags
Cici's Pizza,Other,"23741, Eastex Freeway, Porter, TX, 77365",30.1016316,-95.235636,+1-281-354-3901,False,none,70,No website in OSM tags
Yummy Tummy Bakery,Other,"21572, Market Place Drive, New Caney, TX, 77357",30.1336221,-95.2307266,+1-281-354-1515,False,none,70,URL Error: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1010)
